path,size,sha256
outputs/revision_v2/latex/plugin_supply_compile.log,396,4d25b0fc0bdb397dfd25f52991d7fb8546e76764a2e0c91c576dd68fbb797fa8
outputs/revision_v2/latex/plugin_supply_compile.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/plugin_supply_compile.log.stdout,393,e9be86b4966f8a77224079a9b085abc5e1aa9fe113e959f747df09b79e079e07
outputs/revision_v2/latex/supply.aux,6712,0815a06f6f9b372bdbbb02855cecc0b541d16c6c8aadad23d85bee36c4f73a7e
outputs/revision_v2/latex/supply.bbl,1872,b3ba90103f97aab32fcba590a26fe2f3cc7ebc9bb9f4cb6118654645f3ba4a1f
outputs/revision_v2/latex/supply.blg,1037,ec95a1d07b6e452b451868fbabb72cf6b456107b562bbedb38b5a1ab354fa9d3
outputs/revision_v2/latex/supply.log,57777,c4ded8e1dadb93219c1e36f5cbb6febd34991b48c320d0cec555f47ea03b0a54
outputs/revision_v2/latex/supply.out,1551,7372b37e5660ef2c771008abdf7048b7995b16243981e7aef2371c9ed172fed0
outputs/revision_v2/latex/supply.pdf,107992,616a7a25249f5be8e0503e90500d98ea6800037478ea8c4a74bb8f38e951fc3c
outputs/revision_v2/latex/supply_bibtex.log,162,8d630e96f7cf120583727dc018b82f5e23d364e99a7811a1ad38f79eb43baab6
outputs/revision_v2/latex/supply_bibtex.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/supply_bibtex.log.stdout,159,d3087ca637a03bbb491834fc0745a157dae8a84a4e37d3a67c410637816268ba
outputs/revision_v2/latex/supply_pdflatex_pass1.log,19680,844b2eba1cfa403365c9b2701faa050d094da5cef3c48e3e21dc565818a3f29a
outputs/revision_v2/latex/supply_pdflatex_pass1.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/supply_pdflatex_pass1.log.stdout,19677,a4fd10c567dc2c1169d44443c0a77d12fabb39668a0d20871ff3869f075e757b
outputs/revision_v2/latex/supply_pdflatex_pass2.log,19680,844b2eba1cfa403365c9b2701faa050d094da5cef3c48e3e21dc565818a3f29a
outputs/revision_v2/latex/supply_pdflatex_pass2.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/supply_pdflatex_pass2.log.stdout,19677,a4fd10c567dc2c1169d44443c0a77d12fabb39668a0d20871ff3869f075e757b
outputs/revision_v2/latex/supply_pdflatex_pass3.log,19680,844b2eba1cfa403365c9b2701faa050d094da5cef3c48e3e21dc565818a3f29a
outputs/revision_v2/latex/supply_pdflatex_pass3.log.stderr,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
outputs/revision_v2/latex/supply_pdflatex_pass3.log.stdout,19677,a4fd10c567dc2c1169d44443c0a77d12fabb39668a0d20871ff3869f075e757b
outputs/revision_v2/qc/claim_consistency_check.csv,817,889c11931954e17731b1aa986f65881a2e53e5104295d7d5f56fa2a466c84078
outputs/revision_v2/qc/claim_gating_metadata.json,2317,29846bad29a179741f33a05afe5ed6b4791abf3d1e14febfa7838d1777a70acc
outputs/revision_v2/qc/qc_checklist.csv,245,145411f37b67dcdf2f9529e7d02afdda1991479f5c97a343b1d11fe9dd502e12
outputs/revision_v2/qc/qc_summary.json,169,e14304c47572fa049e98628a3173aeb5d04ad6d642eac29dd5567e5502489f1b
outputs/revision_v2/qc/schema_validation.csv,1378,cdc24258e102f490ff40cabb1fe216ec666a47db19d6a72e6ab89a6076124e56
outputs/revision_v2/qc/v1_baseline_validation.csv,1825,219550010fb8323a3d2f5753d112e782381669107ef9a7d63912344b3515256e
outputs/revision_v2/schemas/bootstrap_interval.schema.json,419,6c5af261b128ba971066a2e5b7ec3fc6c5c93707499587274e5072fff9852de7
outputs/revision_v2/schemas/claim_check.schema.json,345,b3ddcd41dc17c35fadbdafa6944de5145b8dd1de35f1fe4376ed09199a0097dc
outputs/revision_v2/schemas/dataset_manifest.schema.json,327,950fa36d7a1454f3ab920d47714d8c40e8d538251960a0d10079ddeb4ae11fb4
outputs/revision_v2/schemas/derm7pt_diagnostics.schema.json,392,b6bc5619fd2d03f20feddc1c4209e8017ea75de73976a5b5ff0fd9093f2d9af0
outputs/revision_v2/schemas/metric_summary.schema.json,376,9268bfcd2d551e75aecc08987de3e660d06a1f0e0a7e1c04547c4dabbac94efb
outputs/revision_v2/schemas/paired_discretizer_interval.schema.json,409,3552d6a3c894f8d695f87f685bf29d2de09b8a2091f0d5b6019be0f9a0cf0504
outputs/revision_v2/schemas/runtime_log.schema.json,290,8490c4148526e4889507f0f121c4bc31c1e1929883c94ea89ec79e00ef7b4c26
outputs/revision_v2/schemas/submission_bundle_manifest.schema.json,360,86203f8ce61eba97b095a634ad8ec906aaa7322c473dc20ed668a6145c6859e3
outputs/revision_v2/schemas/sun_diagnostics.schema.json,417,8138919b9614593fbddab352988b11b95352d617e8969abf955189d2cea8f861
outputs/revision_v2/statistics/bootstrap_intervals.csv,7455,782910d0906c9da2e2dce85c0a3d60b6bc73034feefe3d4dba11a7e64407e1b2
outputs/revision_v2/statistics/paired_discretizer_intervals.csv,1234,37d04e8aa9b457411d8b25b18bd54f8bb0414ef34baa0efd2aefa0ce05bec19d
outputs/revision_v2/statistics/statistical_assessment.md,974,ddc8dc48635704eda69e66ece8e8817f1a9f1e12c16eeccdc188250a8a4e1f13
outputs/revision_v2/submission_bundle/figs/fig01_semtra.jpg,7860746,0d19515accfb713ffc3f6e358e9faadcd6c42f6ed05e831edd56a3423eb182e2
outputs/revision_v2/submission_bundle/figs/fig05_transition_salience.pdf,25635,5a024418165f444bd27f965f6a1fa795605bdf63b314079219de87ab98ef303e
outputs/revision_v2/submission_bundle/figs/fig05_use-case.jpg,2260875,1e3d9f7b248a66428dfc39f84cc2e6de1be32719209e0134c84fe52a202f7e5d
outputs/revision_v2/submission_bundle/figs/fig06_attribute_error.pdf,26705,9492e09ce93d8e6c1bc9f52f82324a63946dab83678517cd6562dab5884f37b5
outputs/revision_v2/submission_bundle/figs/fig07_wedd_threshold_example.pdf,27900,fd973d45f1e083dbaaffd48706187e6d02a24fb9f498a00929343eaf7b20b821
outputs/revision_v2/submission_bundle/figs/fig09_rule_support_confidence.pdf,30824,8929afb908f2b0c1429e7f52aea4cb6227133de2eee0d223c7cf9aceecfbaf5d
outputs/revision_v2/submission_bundle/figs/fig13_synthetic_threshold_recovery.pdf,24774,ab277df12715589281f4d448ee9c86eb51d6d782d5d3caa99bfa2dd1f307891f
outputs/revision_v2/submission_bundle/figs/fig15_coverage_abstention_tradeoff.pdf,27442,b45280a37c59422a4d2c070b30125be2aa0c4f05a792f06271bbb1dcda0008c9
outputs/revision_v2/submission_bundle/figs/fig19_baseline_tradeoff_scatter.pdf,33149,7352220112d6edcbbd4009fc54e27e713bde1f0903585e017b2041f8a8921dcd
outputs/revision_v2/submission_bundle/figs/fig22_synthetic_uncertainty_bands.pdf,28300,1685ecc0e50f41186f326090ea67185b3acc7902cedadda97de56987da4f9d1c
outputs/revision_v2/submission_bundle/figs/fig24_attribute_salience_error_scatter.pdf,27321,9c313ede1c83019c34e6ed92b1d8161a6752244cefd5c56f5cdfab6aee05301c
outputs/revision_v2/submission_bundle/latex/main.bbl,16198,14e9b8cbdb51c5d36700229cb0e80b4483b55c569571dd1e91964b5bdce4b645
outputs/revision_v2/submission_bundle/latex/main.blg,1068,e03d632f54071272bb6208ee083716efdb357d1d270301fb5339495c91c7f4f8
outputs/revision_v2/submission_bundle/latex/main.log,81414,17bfe6a3da761001138786ccd184ba95490052a3f0689acf00a9a9e179f74352
outputs/revision_v2/submission_bundle/latex/main.pdf,10758046,66b66f36043302778f7c9ad4754bd068c13a66c00c94ee645bb79ff3b8e3da2c
outputs/revision_v2/submission_bundle/latex/supply.bbl,1872,b3ba90103f97aab32fcba590a26fe2f3cc7ebc9bb9f4cb6118654645f3ba4a1f
outputs/revision_v2/submission_bundle/latex/supply.blg,1037,ec95a1d07b6e452b451868fbabb72cf6b456107b562bbedb38b5a1ab354fa9d3
outputs/revision_v2/submission_bundle/latex/supply.log,57777,c4ded8e1dadb93219c1e36f5cbb6febd34991b48c320d0cec555f47ea03b0a54
outputs/revision_v2/submission_bundle/latex/supply.pdf,107992,616a7a25249f5be8e0503e90500d98ea6800037478ea8c4a74bb8f38e951fc3c
outputs/revision_v2/submission_bundle/manifest.json,9361,716c822badfcfce6425d626d6b5bfab786d6760dad4dc7c9237975b2c2cc0b5d
outputs/revision_v2/submission_bundle/manuscript/main.tex,100703,1db5ece1f2f2ba2fb3c2efdbe47cfbf90d144ab40fd4c9dcff83e4fafa16fb41
outputs/revision_v2/submission_bundle/manuscript/references.bib,18995,61fe5b2332fcdf574b66372a679a263584f88995f86aa4300bbc3eccf6f1b2af
outputs/revision_v2/submission_bundle/manuscript/supply.tex,8933,f738a38e03fcab1772130b58de461961cef443851144edfac0ffdc9d25316e14
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_bat_diagnostic.tex,337,027ad1a3805118c35720b281fee5a5e903551938cf2b8722963ff3700b4a52a3
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_cross_domain_generalization.tex,824,66eeeca9ed90575aef4651a9487dbc670db3e9e9383ffdff072a6cf3599ca1bd
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_derm7pt_summary.tex,410,ec0dc5f2688d8663d602484a509afc4d427086498e2208480d5d06107bb2dec3
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_discretizer_comparison_main.tex,646,804830190e15677001c6ae13b5e7c910c52f0fb1844c9ea6226765e92c2e8451
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_protocol_b_seedwise.tex,455,57bf50d1caed35ef9060fa9f1632b0c73549f6158a7f9411d4fcd8c66a73f2ef
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_q_sensitivity.tex,541,cedc094d2f268fdc5a7b5c4c071f490d92af693ff1527b442ca6480a0278ff1e
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_runtime_breakdown.tex,845,ae1298cea122410fcb439843c6350f1854010e202736566bb9146622842aed8a
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_sun_summary.tex,409,9975a8449a7c3e72f26890b54f148a1c5e20c6adf7803e646bdc15d1b881c1b7
outputs/revision_v2/submission_bundle/outputs/revision_v1/tables/table_svd_rank_sensitivity.tex,525,8afdf689891994ed4e1fb0eadf864904836bf80b08ae22b7c78b15dd107ff10b
outputs/revision_v2/sun/sun_category_diagnostics.csv,110486,6d0d458d526e6b1432ead08b8748633a1ded5e13d5876c9abad22434b3ef1e07
outputs/revision_v2/sun/sun_failure_modes.md,1681,4c234831445b1e81db1fb19a6cbe639ae76721153a9196a1a2837bd8f5ea4f1d
