alpha_bucket,scene_category,scene_leaf,n_images,n_classes,official_attribute_matches,train_count,val_count,test_seen_count,test_unseen_count
d,desert/vegetation,vegetation,20,1,20,16,16,4,0
d,desert_road,desert_road,20,1,20,16,16,4,0
d,diner/indoor,indoor,20,1,20,16,16,4,0
d,diner/outdoor,outdoor,20,1,20,16,16,4,0
d,dinette/home,home,20,1,20,16,16,4,0
d,dinette/vehicle,vehicle,20,1,20,16,16,4,0
d,dining_car,dining_car,20,1,20,16,16,4,0
d,dining_hall,dining_hall,20,1,20,16,16,4,0
d,dining_room,dining_room,20,1,20,16,16,4,0
d,dirt_track,dirt_track,20,1,20,0,0,0,20
d,discotheque,discotheque,20,1,20,0,16,4,0
d,dock,dock,20,1,20,16,16,4,0
d,dolmen,dolmen,20,1,20,16,16,4,0
d,donjon,donjon,20,1,20,16,16,4,0
d,doorway/indoor,indoor,20,1,20,0,0,0,20
d,doorway/outdoor,outdoor,20,1,20,16,16,4,0
d,dorm_room,dorm_room,20,1,20,16,16,4,0
d,downtown,downtown,20,1,20,16,16,4,0
d,drainage_ditch,drainage_ditch,20,1,20,16,16,4,0
d,drill_rig,drill_rig,20,1,20,16,16,4,0
d,driveway,driveway,20,1,20,16,16,4,0
d,driving_range/outdoor,outdoor,20,1,20,16,16,4,0
d,drugstore,drugstore,20,1,20,16,16,4,0
d,dry_dock,dry_dock,20,1,20,0,16,4,0
d,dugout,dugout,20,1,20,16,16,4,0
e,earth_fissure,earth_fissure,20,1,20,16,16,4,0
e,editing_room,editing_room,20,1,20,16,16,4,0
e,electrical_substation,electrical_substation,20,1,20,16,16,4,0
e,elevator/door,door,20,1,20,16,16,4,0
e,elevator/freight_elevator,freight_elevator,20,1,20,16,16,4,0
e,elevator/interior,interior,20,1,20,0,0,0,20
e,elevator_lobby,elevator_lobby,20,1,20,16,16,4,0
e,elevator_shaft,elevator_shaft,20,1,20,16,16,4,0
e,embassy,embassy,20,1,20,16,16,4,0
e,engine_room,engine_room,20,1,20,16,16,4,0
e,escalator/indoor,indoor,20,1,20,16,16,4,0
e,escalator/outdoor,outdoor,20,1,20,16,16,4,0
e,estuary,estuary,20,1,20,16,16,4,0
e,excavation,excavation,20,1,20,0,0,0,20
e,exhibition_hall,exhibition_hall,20,1,20,0,0,0,20
f,factory/indoor,indoor,20,1,20,0,16,4,0
f,factory/outdoor,outdoor,20,1,20,0,16,4,0
f,fairway,fairway,20,1,20,16,16,4,0
f,farm,farm,20,1,20,0,16,4,0
f,fastfood_restaurant,fastfood_restaurant,20,1,20,16,16,4,0
f,fence,fence,20,1,20,16,16,4,0
f,ferryboat/outdoor,outdoor,20,1,20,16,16,4,0
f,field/cultivated,cultivated,20,1,20,0,0,0,20
f,field/wild,wild,20,1,20,16,16,4,0
f,field_road,field_road,20,1,20,16,16,4,0
f,fire_escape,fire_escape,20,1,20,16,16,4,0
f,fire_station,fire_station,20,1,20,16,16,4,0
f,firing_range/indoor,indoor,20,1,20,0,0,0,20
f,firing_range/outdoor,outdoor,20,1,20,16,16,4,0
f,fish_farm,fish_farm,20,1,20,16,16,4,0
f,fishpond,fishpond,20,1,20,0,0,0,20
f,fjord,fjord,20,1,20,16,16,4,0
f,flea_market/indoor,indoor,20,1,20,16,16,4,0
f,flea_market/outdoor,outdoor,20,1,20,16,16,4,0
f,flight_of_stairs/natural,natural,20,1,20,16,16,4,0
f,flight_of_stairs/urban,urban,20,1,20,16,16,4,0
f,flood,flood,20,1,20,16,16,4,0
f,florist_shop/indoor,indoor,20,1,20,16,16,4,0
f,fly_bridge,fly_bridge,20,1,20,16,16,4,0
f,food_court,food_court,20,1,20,16,16,4,0
f,football_field,football_field,20,1,20,16,16,4,0
f,forest/broadleaf,broadleaf,20,1,20,16,16,4,0
f,forest/needleleaf,needleleaf,20,1,20,16,16,4,0
f,forest_path,forest_path,20,1,20,16,16,4,0
f,forest_road,forest_road,20,1,20,16,16,4,0
f,formal_garden,formal_garden,20,1,20,16,16,4,0
f,fort,fort,20,1,20,16,16,4,0
f,fortress,fortress,20,1,20,16,16,4,0
f,foundry/indoor,indoor,20,1,20,16,16,4,0
f,foundry/outdoor,outdoor,20,1,20,16,16,4,0
f,fountain,fountain,20,1,20,16,16,4,0
f,freeway,freeway,20,1,20,16,16,4,0
f,funeral_chapel,funeral_chapel,20,1,20,16,16,4,0
f,furnace_room,furnace_room,20,1,20,16,16,4,0
g,galley,galley,20,1,20,0,0,0,20
g,game_room,game_room,20,1,20,16,16,4,0
g,gangplank,gangplank,20,1,20,16,16,4,0
g,garage/indoor,indoor,20,1,20,0,16,4,0
g,garage/outdoor,outdoor,20,1,20,16,16,4,0
g,garbage_dump,garbage_dump,20,1,20,0,16,4,0
g,gas_station,gas_station,20,1,20,16,16,4,0
g,gasworks,gasworks,20,1,20,16,16,4,0
g,gatehouse,gatehouse,20,1,20,0,16,4,0
g,gazebo/exterior,exterior,20,1,20,16,16,4,0
g,general_store/indoor,indoor,20,1,20,16,16,4,0
g,general_store/outdoor,outdoor,20,1,20,16,16,4,0
g,geodesic_dome/indoor,indoor,20,1,20,0,0,0,20
g,geodesic_dome/outdoor,outdoor,20,1,20,16,16,4,0
g,ghost_town,ghost_town,20,1,20,16,16,4,0
g,gift_shop,gift_shop,20,1,20,16,16,4,0
g,glacier,glacier,20,1,20,16,16,4,0
g,golf_course,golf_course,20,1,20,16,16,4,0
g,gorge,gorge,20,1,20,16,16,4,0
g,great_hall,great_hall,20,1,20,0,16,4,0
g,greenhouse/indoor,indoor,20,1,20,16,16,4,0
g,greenhouse/outdoor,outdoor,20,1,20,16,16,4,0
g,grotto,grotto,20,1,20,16,16,4,0
g,guardhouse,guardhouse,20,1,20,16,16,4,0
g,gulch,gulch,20,1,20,16,16,4,0
g,gun_deck/indoor,indoor,20,1,20,16,16,4,0
g,gymnasium/indoor,indoor,20,1,20,16,16,4,0
h,hacienda,hacienda,20,1,20,16,16,4,0
h,hallway,hallway,20,1,20,16,16,4,0
h,hangar/indoor,indoor,20,1,20,0,0,0,20
h,hangar/outdoor,outdoor,20,1,20,16,16,4,0
h,harbor,harbor,20,1,20,16,16,4,0
h,hayfield,hayfield,20,1,20,16,16,4,0
h,heath,heath,20,1,20,16,16,4,0
h,hedge_maze,hedge_maze,20,1,20,16,16,4,0
h,hedgerow,hedgerow,20,1,20,16,16,4,0
h,heliport,heliport,20,1,20,16,16,4,0
h,herb_garden,herb_garden,20,1,20,16,16,4,0
h,highway,highway,20,1,20,16,16,4,0
h,hill,hill,20,1,20,16,16,4,0
h,home_office,home_office,20,1,20,16,16,4,0
h,home_theater,home_theater,20,1,20,16,16,4,0
h,hoodoo,hoodoo,20,1,20,0,0,0,20
h,hospital,hospital,20,1,20,16,16,4,0
h,hospital_room,hospital_room,20,1,20,16,16,4,0
h,hot_spring,hot_spring,20,1,20,16,16,4,0
h,hot_tub/indoor,indoor,20,1,20,16,16,4,0
h,hot_tub/outdoor,outdoor,20,1,20,0,16,4,0
h,hotel/outdoor,outdoor,20,1,20,16,16,4,0
h,hotel_breakfast_area,hotel_breakfast_area,20,1,20,16,16,4,0
h,hotel_room,hotel_room,20,1,20,0,0,0,20
h,house,house,20,1,20,16,16,4,0
h,hunting_lodge/indoor,indoor,20,1,20,16,16,4,0
h,hunting_lodge/outdoor,outdoor,20,1,20,16,16,4,0
h,hut,hut,20,1,20,16,16,4,0
i,ice_floe,ice_floe,20,1,20,16,16,4,0
i,ice_shelf,ice_shelf,20,1,20,0,0,0,20
i,ice_skating_rink/indoor,indoor,20,1,20,16,16,4,0
i,ice_skating_rink/outdoor,outdoor,20,1,20,16,16,4,0
i,iceberg,iceberg,20,1,20,16,16,4,0
i,igloo,igloo,20,1,20,16,16,4,0
i,industrial_area,industrial_area,20,1,20,16,16,4,0
i,industrial_park,industrial_park,20,1,20,0,16,4,0
i,inn/indoor,indoor,20,1,20,0,16,4,0
i,inn/outdoor,outdoor,20,1,20,16,16,4,0
i,irrigation_ditch,irrigation_ditch,20,1,20,16,16,4,0
i,islet,islet,20,1,20,16,16,4,0
j,jacuzzi/indoor,indoor,20,1,20,0,0,0,20
j,jacuzzi/outdoor,outdoor,20,1,20,16,16,4,0
j,jail/indoor,indoor,20,1,20,16,16,4,0
j,jail/outdoor,outdoor,20,1,20,16,16,4,0
j,jail_cell,jail_cell,20,1,20,16,16,4,0
j,japanese_garden,japanese_garden,20,1,20,0,0,0,20
j,jewelry_shop,jewelry_shop,20,1,20,16,16,4,0
j,joss_house,joss_house,20,1,20,16,16,4,0
j,junk_pile,junk_pile,20,1,20,16,16,4,0
j,junkyard,junkyard,20,1,20,16,16,4,0
j,jury_box,jury_box,20,1,20,16,16,4,0
k,kasbah,kasbah,20,1,20,16,16,4,0
k,kennel/indoor,indoor,20,1,20,0,16,4,0
k,kennel/outdoor,outdoor,20,1,20,16,16,4,0
k,kindergarden_classroom,kindergarden_classroom,20,1,20,16,16,4,0
k,kiosk/indoor,indoor,20,1,20,16,16,4,0
k,kiosk/outdoor,outdoor,20,1,20,16,16,4,0
k,kitchen,kitchen,20,1,20,16,16,4,0
k,kitchenette,kitchenette,20,1,20,16,16,4,0
l,lab_classroom,lab_classroom,20,1,20,0,16,4,0
l,labyrinth/indoor,indoor,20,1,20,16,16,4,0
l,labyrinth/outdoor,outdoor,20,1,20,16,16,4,0
l,lagoon,lagoon,20,1,20,16,16,4,0
l,lake/artificial,artificial,20,1,20,16,16,4,0
l,lake/natural,natural,20,1,20,16,16,4,0
l,landfill,landfill,20,1,20,16,16,4,0
l,landing_deck,landing_deck,20,1,20,0,0,0,20
l,laundromat,laundromat,20,1,20,16,16,4,0
l,lawn,lawn,20,1,20,0,0,0,20
l,lean-to,lean-to,20,1,20,16,16,4,0
l,lecture_room,lecture_room,20,1,20,16,16,4,0
l,levee,levee,20,1,20,16,16,4,0
l,library/indoor,indoor,20,1,20,16,16,4,0
l,library/outdoor,outdoor,20,1,20,16,16,4,0
l,lido_deck/outdoor,outdoor,20,1,20,16,16,4,0
l,lift_bridge,lift_bridge,20,1,20,0,16,4,0
l,lighthouse,lighthouse,20,1,20,16,16,4,0
l,limousine_interior,limousine_interior,20,1,20,16,16,4,0
l,liquor_store/indoor,indoor,20,1,20,16,16,4,0
l,liquor_store/outdoor,outdoor,20,1,20,16,16,4,0
l,living_room,living_room,20,1,20,16,16,4,0
l,loading_dock,loading_dock,20,1,20,16,16,4,0
l,lobby,lobby,20,1,20,16,16,4,0
l,lock_chamber,lock_chamber,20,1,20,0,16,4,0
l,locker_room,locker_room,20,1,20,16,16,4,0
l,lookout_station/outdoor,outdoor,20,1,20,16,16,4,0
m,machine_shop,machine_shop,20,1,20,16,16,4,0
m,manhole,manhole,20,1,20,16,16,4,0
m,mansion,mansion,20,1,20,16,16,4,0
m,manufactured_home,manufactured_home,20,1,20,16,16,4,0
m,market/indoor,indoor,20,1,20,0,16,4,0
m,market/outdoor,outdoor,20,1,20,16,16,4,0
m,marsh,marsh,20,1,20,16,16,4,0
m,martial_arts_gym,martial_arts_gym,20,1,20,16,16,4,0
m,mastaba,mastaba,20,1,20,16,16,4,0
m,mausoleum,mausoleum,20,1,20,16,16,4,0
m,medina,medina,20,1,20,16,16,4,0
m,mesa,mesa,20,1,20,16,16,4,0
m,military_hospital,military_hospital,20,1,20,16,16,4,0
m,military_hut,military_hut,20,1,20,16,16,4,0
m,mine,mine,20,1,20,16,16,4,0
m,mineshaft,mineshaft,20,1,20,16,16,4,0
m,mini_golf_course/outdoor,outdoor,20,1,20,16,16,4,0
m,mission,mission,20,1,20,16,16,4,0
m,moat/dry,dry,20,1,20,16,16,4,0
m,moat/water,water,20,1,20,16,16,4,0
m,mobile_home,mobile_home,20,1,20,0,16,4,0
m,monastery/outdoor,outdoor,20,1,20,0,0,0,20
m,moor,moor,20,1,20,0,16,4,0
m,morgue,morgue,20,1,20,16,16,4,0
m,mosque/indoor,indoor,20,1,20,0,0,0,20
m,mosque/outdoor,outdoor,20,1,20,16,16,4,0
m,motel,motel,20,1,20,0,0,0,20
m,mountain,mountain,20,1,20,16,16,4,0
m,mountain_path,mountain_path,20,1,20,16,16,4,0
m,mountain_road,mountain_road,20,1,20,16,16,4,0
m,mountain_snowy,mountain_snowy,20,1,20,16,16,4,0
m,movie_theater/indoor,indoor,20,1,20,16,16,4,0
m,movie_theater/outdoor,outdoor,20,1,20,16,16,4,0
m,museum/indoor,indoor,20,1,20,16,16,4,0
m,museum/outdoor,outdoor,20,1,20,16,16,4,0
m,music_store,music_store,20,1,20,16,16,4,0
m,music_studio,music_studio,20,1,20,16,16,4,0
n,natural_history_museum,natural_history_museum,20,1,20,16,16,4,0
n,naval_base,naval_base,20,1,20,16,16,4,0
n,newsroom,newsroom,20,1,20,16,16,4,0
n,newsstand/outdoor,outdoor,20,1,20,16,16,4,0
n,nightclub,nightclub,20,1,20,0,0,0,20
n,nuclear_power_plant/indoor,indoor,20,1,20,16,16,4,0
n,nuclear_power_plant/outdoor,outdoor,20,1,20,16,16,4,0
n,nursery,nursery,20,1,20,16,16,4,0
n,nursing_home,nursing_home,20,1,20,16,16,4,0
o,oasis,oasis,20,1,20,16,16,4,0
o,oast_house,oast_house,20,1,20,16,16,4,0
o,observatory/indoor,indoor,20,1,20,16,16,4,0
o,observatory/outdoor,outdoor,20,1,20,0,0,0,20
o,ocean,ocean,20,1,20,16,16,4,0
o,office,office,20,1,20,16,16,4,0
o,office_building,office_building,20,1,20,16,16,4,0
o,office_cubicles,office_cubicles,20,1,20,16,16,4,0
o,oil_refinery/outdoor,outdoor,20,1,20,16,16,4,0
o,oilrig,oilrig,20,1,20,16,16,4,0
o,operating_room,operating_room,20,1,20,16,16,4,0
o,optician,optician,20,1,20,16,16,4,0
o,orchard,orchard,20,1,20,16,16,4,0
o,organ_loft/exterior,exterior,20,1,20,0,16,4,0
o,ossuary,ossuary,20,1,20,16,16,4,0
o,outcropping,outcropping,20,1,20,16,16,4,0
o,outhouse/outdoor,outdoor,20,1,20,16,16,4,0
o,overpass,overpass,20,1,20,16,16,4,0
p,packaging_plant,packaging_plant,20,1,20,0,16,4,0
p,pagoda,pagoda,20,1,20,16,16,4,0
p,palace,palace,20,1,20,16,16,4,0
p,pantry,pantry,20,1,20,16,16,4,0
p,parade_ground,parade_ground,20,1,20,0,16,4,0
p,park,park,20,1,20,16,16,4,0
p,parking_garage/indoor,indoor,20,1,20,16,16,4,0
p,parking_garage/outdoor,outdoor,20,1,20,16,16,4,0
p,parking_lot,parking_lot,20,1,20,0,0,0,20
p,parlor,parlor,20,1,20,16,16,4,0
p,particle_accelerator,particle_accelerator,20,1,20,16,16,4,0
p,pasture,pasture,20,1,20,16,16,4,0
p,patio,patio,20,1,20,16,16,4,0
p,pavilion,pavilion,20,1,20,16,16,4,0
p,pedestrian_overpass/outdoor,outdoor,20,1,20,16,16,4,0
p,pet_shop,pet_shop,20,1,20,16,16,4,0
p,pharmacy,pharmacy,20,1,20,16,16,4,0
p,phone_booth,phone_booth,20,1,20,16,16,4,0
p,physics_laboratory,physics_laboratory,20,1,20,16,16,4,0
p,piano_store,piano_store,20,1,20,0,0,0,20
p,picnic_area,picnic_area,20,1,20,16,16,4,0
p,pier,pier,20,1,20,16,16,4,0
p,pig_farm,pig_farm,20,1,20,16,16,4,0
p,pilothouse/indoor,indoor,20,1,20,0,16,4,0
p,pilothouse/outdoor,outdoor,20,1,20,16,16,4,0
p,pitchers_mound,pitchers_mound,20,1,20,16,16,4,0
p,pizzeria,pizzeria,20,1,20,16,16,4,0
p,planetarium/indoor,indoor,20,1,20,16,16,4,0
p,planetarium/outdoor,outdoor,20,1,20,16,16,4,0
p,plantation_house,plantation_house,20,1,20,16,16,4,0
p,playground,playground,20,1,20,0,0,0,20
p,playroom,playroom,20,1,20,16,16,4,0
p,plaza,plaza,20,1,20,0,16,4,0
p,podium/indoor,indoor,20,1,20,16,16,4,0
p,podium/outdoor,outdoor,20,1,20,0,16,4,0
p,pond,pond,20,1,20,16,16,4,0
p,poolroom/establishment,establishment,20,1,20,16,16,4,0
p,poolroom/home,home,20,1,20,16,16,4,0
p,porch,porch,20,1,20,16,16,4,0
p,portico,portico,20,1,20,16,16,4,0
p,power_plant/indoor,indoor,20,1,20,16,16,4,0
p,power_plant/outdoor,outdoor,20,1,20,16,16,4,0
p,print_shop,print_shop,20,1,20,16,16,4,0
